Rank	Protein	Degree
670	Q13243	6
671	O60826	6
672	Q9UPN9	6
673	P11177	6
674	Q2MV58	6
675	Q15287	6
676	O96000	6
677	P41182	6
678	P61604	6
679	O95433	6
680	P51610	6
681	P20333	6
682	Q14653	6
683	Q05655	6
684	O14654	6
685	Q9NYK5	6
686	Q13363	6
687	O95619	6
688	Q92993	6
689	P15884	6
690	P43364	6
691	Q9UGL1	6
692	O14862	6
693	Q9UPT9	6
694	Q8TES7	6
695	O43852	6
696	Q09028	6
697	P17980	6
698	O94986	6
699	P21580	6
700	Q13323	6
701	Q9C0B0	6
702	P48039	6
703	P62701	6
704	O15143	6
705	O15075	6
706	P30050	6
707	Q13557	6
708	Q15562	6
709	Q8NA72	6
710	O43290	6
711	O00165	6
712	P84103	6
713	P63000	6
714	Q9NRI5	6
715	P61962	6
716	Q00613	6
717	P02545	6
718	P35241	6
719	P02686	6
720	P35613	6
721	Q8IUH5	6
722	Q16658	6
723	Q9P0K8	6
724	O60341	6
725	Q8N0Z3	6
726	P05771	6
727	Q8TCJ0	6
728	P48729	6
729	Q99816	6
730	P60409	6
731	P20073	6
732	Q01082	6
733	P78371	6
734	P21359	6
735	Q96BD5	6
736	Q99873	6
737	Q13813	6
738	P61968	6
739	O60664	6
740	Q9H1Y0	6
741	O14508	6
742	Q9BV73	5
743	Q5JST6	5
744	P14921	5
745	P51991	5
746	P05386	5
747	P05387	5
748	P62841	5
749	P00441	5
750	Q8N122	5
751	O15198	5
752	P28331	5
753	P60842	5
754	P14678	5
755	Q6PKG0	5
756	Q13595	5
757	O43865	5
758	Q6NUS6	5
759	P52209	5
760	P25205	5
761	P10914	5
762	P42768	5
763	O43264	5
764	Q5T749	5
765	P60896	5
766	P02786	5
767	Q96EV8	5
768	P12270	5
769	Q6UN15	5
770	P38432	5
771	Q9Y5J5	5
772	Q96ST3	5
773	Q5T3J3	5
774	Q6NT76	5
775	Q16514	5
776	P49327	5
777	Q96MT8	5
778	Q9NX40	5
779	P26951	5
780	P81408	5
781	Q14160	5
782	P27695	5
783	Q13148	5
784	P60370	5
785	P61353	5
786	Q96GM5	5
787	Q14129	5
788	Q9Y2Q3	5
789	P63010	5
790	Q86U42	5
791	Q9BXY8	5
792	P26371	5
793	O43390	5
794	Q14839	5
795	Q96IK5	5
796	P49773	5
797	O00487	5
798	P63172	5
799	Q5JTH9	5
800	Q14847	5
801	O60832	5
802	Q9H944	5
803	P43146	5
804	Q9BYG5	5
805	P51681	5
806	P14316	5
807	P25787	5
808	P63220	5
809	Q9BYR5	5
810	Q9UNS2	5
811	Q15293	5
812	Q96CW1	5
813	Q9Y6Y0	5
814	Q9UQ88	5
815	Q96SW2	5
816	Q6PKC3	5
817	Q1A5X7	5
818	Q9BVP2	5
819	Q13237	5
820	Q6K0P9	5
821	Q92569	5
822	P63244	5
823	P78334	5
824	Q96HE9	5
825	Q13435	5
826	P01137	5
827	Q969R5	5
828	P46777	5
829	P40692	5
830	O43586	5
831	P36897	5
832	Q9NZI8	5
833	Q15424	5
834	Q92997	5
835	P55081	5
836	Q9GZS3	5
837	Q08050	5
838	Q9HCU9	5
839	A8MW92	5
840	Q12873	5
841	P05783	5
842	Q96J02	5
843	P10644	5
844	Q9BXW9	5
845	P34925	5
846	Q01105	5
847	P05121	5
848	Q92542	5
849	Q69YQ0	5
850	Q15084	5
851	Q9H270	5
852	P09429	5
853	Q9UJX2	5
854	Q96EG3	5
855	Q15006	5
856	Q9H7E9	5
857	P23458	5
858	O43166	5
859	Q9BPZ7	5
860	P20963	5
861	O43464	5
862	P26010	5
863	O95630	5
864	Q4VCS5	5
865	P35270	5
866	Q09019	5
867	P62304	5
868	Q15797	5
869	Q01664	5
870	P62081	5
871	Q52LG2	5
872	Q7L2J0	5
873	Q9Y5B8	5
874	Q7Z4H7	5
875	P13645	5
876	Q9HBH0	5
877	Q9UM11	5
878	O15131	5
879	Q86YT6	5
880	Q3ZCM7	5
881	Q05086	5
882	Q8IWV7	5
883	O43242	5
884	O95071	5
885	O95182	5
886	Q16625	5
887	Q5VVX9	5
888	P01112	5
889	P46087	5
890	Q9H3S7	5
891	Q06330	5
892	P28749	5
893	P02538	5
894	Q32P28	5
895	P63096	5
896	P13073	5
897	P30260	5
898	P61981	5
899	O43504	5
900	P27797	5
901	Q29RF7	5
902	Q9Y266	5
903	Q07666	5
904	Q15262	5
905	Q6NYC1	5
906	P05362	5
907	P08581	5
908	Q96S53	5
909	P62917	5
910	O14610	5
911	Q14498	5
912	O00257	5
913	P54646	5
914	Q15418	5
915	O43795	5
916	Q93062	5
917	Q04759	5
918	P17568	5
